keyword,tech_1,tech_1_confidence,tech_2,tech_2_confidence,notes
escape,Escape to Host,0.4,Command Obfuscation,0.2,Setuid and Setgid (confidence: 0.2); Unix Shell Configuration Modification (confidence: 0.2)
GET,Internet Connection Discovery,0.5,Cloud Groups,0.5,
escalation,Exploitation for Privilege Escalation,0.1,Service Execution,0.05,Account Manipulation (confidence: 0.05); Steal Application Access Token (confidence: 0.05); Systemd Service (confidence: 0.05); Additional Cloud Roles (confidence: 0.05); Image File Execution Options Injection (confidence: 0.05); Port Monitors (confidence: 0.05); Component Object Model (confidence: 0.05); Chat Messages (confidence: 0.05); Login Items (confidence: 0.05); Services Registry Permissions Weakness (confidence: 0.05); Path Interception by Unquoted Path (confidence: 0.05); DLL Search Order Hijacking (confidence: 0.05); Dylib Hijacking (confidence: 0.05); SSH Authorized Keys (confidence: 0.05); Print Processors (confidence: 0.05); Group Policy Discovery (confidence: 0.05); Executable Installer File Permissions Weakness (confidence: 0.05)
File,NTFS File Attributes,0.09,Hidden File System,0.07,Change Default File Association (confidence: 0.04); Linux and Mac File and Directory Permissions Modification (confidence: 0.04); Windows File and Directory Permissions Modification (confidence: 0.04); Setuid and Setgid (confidence: 0.04); XSL Script Processing (confidence: 0.04); File and Directory Permissions Modification (confidence: 0.04); Image File Execution Options Injection (confidence: 0.04); Accessibility Features (confidence: 0.04); Clear Persistence (confidence: 0.02); Data Encrypted for Impact (confidence: 0.02); Gatekeeper Bypass (confidence: 0.02); BITS Jobs (confidence: 0.02); Network Share Discovery (confidence: 0.02); Automated Collection (confidence: 0.02); Subvert Trust Controls (confidence: 0.02); Right-to-Left Override (confidence: 0.02); Resource Forking (confidence: 0.02); /etc/passwd and /etc/shadow (confidence: 0.02); Component Object Model (confidence: 0.02); Local Email Collection (confidence: 0.02); Impair Command History Logging (confidence: 0.02); Runtime Data Manipulation (confidence: 0.02); Malicious Link (confidence: 0.02); Malicious File (confidence: 0.02); Indicator Blocking (confidence: 0.02); TFTP Boot (confidence: 0.02); Upload Malware (confidence: 0.02); Link Target (confidence: 0.02); Cloud Storage Object Discovery (confidence: 0.02); File and Directory Discovery (confidence: 0.02)
Studio,MSBuild,0.25,PowerShell Profile,0.25,Add-ins (confidence: 0.25); Steal Application Access Token (confidence: 0.25)
variable,Path Interception by PATH Environment Variable,0.25,COR_PROFILER,0.2,Impair Command History Logging (confidence: 0.15); SNMP (MIB Dump) (confidence: 0.1); Dynamic Linker Hijacking (confidence: 0.1); System Language Discovery (confidence: 0.05); Steal or Forge Kerberos Tickets (confidence: 0.05); Clear Command History (confidence: 0.05); Sudo and Sudo Caching (confidence: 0.05)
inbound,Email Hiding Rules,0.5,Create Snapshot,0.5,
Web,Web Shell,0.13,Bidirectional Communication,0.09,One-Way Communication (confidence: 0.06); Exfiltration Over Web Service (confidence: 0.04); Web Service (confidence: 0.04); Dead Drop Resolver (confidence: 0.04); Web Cookies (confidence: 0.04); Steal Web Session Cookie (confidence: 0.03); Credentials from Web Browsers (confidence: 0.03); Web Services (confidence: 0.03); Web Services (confidence: 0.03); Implant Internal Image (confidence: 0.03); Windows Credential Manager (confidence: 0.03); Forge Web Credentials (confidence: 0.03); Web Session Cookie (confidence: 0.03); Masquerade Task or Service (confidence: 0.01); Drive-by Compromise (confidence: 0.01); Exploitation for Client Execution (confidence: 0.01); Forced Authentication (confidence: 0.01); Ingress Tool Transfer (confidence: 0.01); Regsvr32 (confidence: 0.01); Clear Linux or Mac System Logs (confidence: 0.01); Valid Accounts (confidence: 0.01); Acquire Access (confidence: 0.01); Modify Authentication Process (confidence: 0.01); Dynamic Data Exchange (confidence: 0.01); Service Exhaustion Flood (confidence: 0.01); Cloud API (confidence: 0.01); DLL Search Order Hijacking (confidence: 0.01); Malware (confidence: 0.01); Digital Certificates (confidence: 0.01); Digital Certificates (confidence: 0.01); Spearphishing Link (confidence: 0.01); Stage Capabilities (confidence: 0.01); Install Digital Certificate (confidence: 0.01); Malicious Image (confidence: 0.01); MMC (confidence: 0.01); Input Capture (confidence: 0.01)
attack,Reflection Amplification,0.21,Endpoint Denial of Service,0.14,Service Exhaustion Flood (confidence: 0.11); Direct Network Flood (confidence: 0.07); Network Denial of Service (confidence: 0.07); DHCP Spoofing (confidence: 0.04); ListPlanting (confidence: 0.04); Group Policy Discovery (confidence: 0.04); Drive-by Target (confidence: 0.04); Spearphishing Link (confidence: 0.04); Spearphishing Link (confidence: 0.04); OS Exhaustion Flood (confidence: 0.04); Extra Window Memory Injection (confidence: 0.04); Firmware Corruption (confidence: 0.04); Data Encrypted for Impact (confidence: 0.04); Drive-by Compromise (confidence: 0.04)
Multiple,Exploit Public-Facing Application,0.33,Exploitation of Remote Services,0.33,Drive-by Compromise (confidence: 0.33)
leak,Container and Resource Discovery,0.33,CDNs,0.33,Account Discovery (confidence: 0.33)
image,Build Image on Host,0.25,Malicious Image,0.1,TFTP Boot (confidence: 0.08); ROMMONkit (confidence: 0.08); Steganography (confidence: 0.08); Patch System Image (confidence: 0.05); Implant Internal Image (confidence: 0.05); Downgrade System Image (confidence: 0.05); Steganography (confidence: 0.02); Data Destruction (confidence: 0.02); Match Legitimate Name or Location (confidence: 0.02); User Activity Based Checks (confidence: 0.02); Masquerade File Type (confidence: 0.02); Hidden File System (confidence: 0.02); Network Device Authentication (confidence: 0.02); Double File Extension (confidence: 0.02); Mark-of-the-Web Bypass (confidence: 0.02); Deploy Container (confidence: 0.02); Video Capture (confidence: 0.02)
FTP,Exfiltration Over Alternative Protocol,0.2,Patch System Image,0.1,File Transfer Protocols (confidence: 0.1); Exfiltration Over Unencrypted Non-C2 Protocol (confidence: 0.1); Exfiltration Over Symmetric Encrypted Non-C2 Protocol (confidence: 0.1); Credential Stuffing (confidence: 0.1); Password Spraying (confidence: 0.1); Password Guessing (confidence: 0.1); Compromise Client Software Binary (confidence: 0.1)
Bash,Unix Shell,0.33,Bash History,0.33,Unsecured Credentials (confidence: 0.33)
environment,Dynamic Linker Hijacking,0.04,Unix Shell Configuration Modification,0.04,Path Interception by PATH Environment Variable (confidence: 0.04); Container and Resource Discovery (confidence: 0.03); COR_PROFILER (confidence: 0.03); Domain Policy Modification (confidence: 0.03); Internal Proxy (confidence: 0.02); Environmental Keying (confidence: 0.02); System Checks (confidence: 0.02); Escape to Host (confidence: 0.02); Impair Command History Logging (confidence: 0.02); Additional Cloud Credentials (confidence: 0.02); Cloud API (confidence: 0.01); Execution Guardrails (confidence: 0.01); Lateral Tool Transfer (confidence: 0.01); Password Guessing (confidence: 0.01); Virtualization/Sandbox Evasion (confidence: 0.01); Network Service Discovery (confidence: 0.01); Disable or Modify Cloud Firewall (confidence: 0.01); Steal or Forge Kerberos Tickets (confidence: 0.01); Time Based Evasion (confidence: 0.01); Cloud Infrastructure Discovery (confidence: 0.01); System Network Connections Discovery (confidence: 0.01); Cloud Service Dashboard (confidence: 0.01); Account Discovery (confidence: 0.01); Implant Internal Image (confidence: 0.01); Deploy Container (confidence: 0.01); Container API (confidence: 0.01); XDG Autostart Entries (confidence: 0.01); Security Software Discovery (confidence: 0.01); Ingress Tool Transfer (confidence: 0.01); Cloud Administration Command (confidence: 0.01); Steal Application Access Token (confidence: 0.01); Internal Spearphishing (confidence: 0.01); Software Discovery (confidence: 0.01); Transfer Data to Cloud Account (confidence: 0.01); Service Stop (confidence: 0.01); Cloud Service Discovery (confidence: 0.01); Brute Force (confidence: 0.01); Remote Services (confidence: 0.01); Network Sniffing (confidence: 0.01); Windows Management Instrumentation (confidence: 0.01); Exploitation for Privilege Escalation (confidence: 0.01); Permission Groups Discovery (confidence: 0.01); Software Deployment Tools (confidence: 0.01); Peripheral Device Discovery (confidence: 0.01); Resource Hijacking (confidence: 0.01); Data from Information Repositories (confidence: 0.01); Remote Access Software (confidence: 0.01); Supply Chain Compromise (confidence: 0.01); Password Policy Discovery (confidence: 0.01); Exploitation for Defense Evasion (confidence: 0.01); Use Alternate Authentication Material (confidence: 0.01); Setuid and Setgid (confidence: 0.01); Remote Service Session Hijacking (confidence: 0.01); Pass the Hash (confidence: 0.01); Debugger Evasion (confidence: 0.01); Container Administration Command (confidence: 0.01); Build Image on Host (confidence: 0.01); Group Policy Discovery (confidence: 0.01); System Language Discovery (confidence: 0.01); Login Items (confidence: 0.01); Process Argument Spoofing (confidence: 0.01); Plist File Modification (confidence: 0.01); Group Policy Modification (confidence: 0.01); Serverless Execution (confidence: 0.01); Multi-Factor Authentication (confidence: 0.01); Serverless (confidence: 0.01); Serverless (confidence: 0.01); Installer Packages (confidence: 0.01); Hybrid Identity (confidence: 0.01); Drive-by Target (confidence: 0.01); Disable Cloud Logs (confidence: 0.01); Pass the Ticket (confidence: 0.01); Spearphishing via Service (confidence: 0.01); Clear Command History (confidence: 0.01); Impair Defenses (confidence: 0.01); Cloud Groups (confidence: 0.01); Cloud Services (confidence: 0.01); SSH Hijacking (confidence: 0.01); RDP Hijacking (confidence: 0.01); User Activity Based Checks (confidence: 0.01); Spearphishing Service (confidence: 0.01); PowerShell (confidence: 0.01); Cloud Accounts (confidence: 0.01); External Proxy (confidence: 0.01); Create Cloud Instance (confidence: 0.01); Run Virtual Instance (confidence: 0.01); Firmware (confidence: 0.01); Remote System Discovery (confidence: 0.01)
Device,Private Keys,0.05,Traffic Signaling,0.05,Reduce Key Space (confidence: 0.05); Device Registration (confidence: 0.05); Remote System Discovery (confidence: 0.03); System Owner/User Discovery (confidence: 0.03); Network Sniffing (confidence: 0.03); System Network Connections Discovery (confidence: 0.03); Process Discovery (confidence: 0.03); Local Account (confidence: 0.03); System Information Discovery (confidence: 0.03); File and Directory Discovery (confidence: 0.03); System Time Discovery (confidence: 0.03); Password Policy Discovery (confidence: 0.03); Exploit Public-Facing Application (confidence: 0.03); System Network Configuration Discovery (confidence: 0.03); System Shutdown/Reboot (confidence: 0.03); Steal or Forge Authentication Certificates (confidence: 0.03); Clear Command History (confidence: 0.03); Keylogging (confidence: 0.03); Disk Wipe (confidence: 0.03); Disk Structure Wipe (confidence: 0.03); Impair Command History Logging (confidence: 0.03); SSH Authorized Keys (confidence: 0.03); Traffic Duplication (confidence: 0.03); Weaken Encryption (confidence: 0.03); Disable Crypto Hardware (confidence: 0.03); Patch System Image (confidence: 0.03); SNMP (MIB Dump) (confidence: 0.03); ROMMONkit (confidence: 0.03); TFTP Boot (confidence: 0.03); Network Device Configuration Dump (confidence: 0.03); Data from Local System (confidence: 0.03)
vulnerability,Vulnerabilities,0.33,Exploitation for Defense Evasion,0.1,Exploitation for Privilege Escalation (confidence: 0.1); Exploits (confidence: 0.05); Exploits (confidence: 0.05); Path Interception by Search Order Hijacking (confidence: 0.05); Malicious Link (confidence: 0.05); Spearphishing Attachment (confidence: 0.05); Cloud Instance Metadata API (confidence: 0.05); Exploitation for Credential Access (confidence: 0.05); Exploitation of Remote Services (confidence: 0.05); Exploitation for Client Execution (confidence: 0.05); Network Service Discovery (confidence: 0.05)
update,ROMMONkit,0.14,ARP Cache Poisoning,0.14,SSH Authorized Keys (confidence: 0.14); Additional Cloud Roles (confidence: 0.14); Supply Chain Compromise (confidence: 0.14); Browser Extensions (confidence: 0.14); Multi-Stage Channels (confidence: 0.14)
handler,Change Default File Association,0.83,XPC Services,0.17,
Executable,Double File Extension,0.17,Executable Installer File Permissions Weakness,0.17,SIP and Trust Provider Hijacking (confidence: 0.17); Software Packing (confidence: 0.17); Screensaver (confidence: 0.17); Compiled HTML File (confidence: 0.17)
Exploit,Multi-Factor Authentication,0.15,Exploits,0.15,Wordlist Scanning (confidence: 0.08); Threat Intel Vendors (confidence: 0.08); Scan Databases (confidence: 0.08); Vulnerability Scanning (confidence: 0.08); Active Scanning (confidence: 0.08); Firmware (confidence: 0.08); Exploits (confidence: 0.08); Drive-by Compromise (confidence: 0.08); Trusted Developer Utilities Proxy Execution (confidence: 0.08)
encrypted,AS-REP Roasting,0.12,Exfiltration Over Asymmetric Encrypted Non-C2 Protocol,0.07,Environmental Keying (confidence: 0.07); Credentials from Web Browsers (confidence: 0.07); Exfiltration Over Symmetric Encrypted Non-C2 Protocol (confidence: 0.07); Data Encrypted for Impact (confidence: 0.05); Digital Certificates (confidence: 0.05); Protocol Tunneling (confidence: 0.05); Multi-hop Proxy (confidence: 0.02); Obfuscated Files or Information (confidence: 0.02); Security Support Provider (confidence: 0.02); Steganography (confidence: 0.02); LSASS Memory (confidence: 0.02); Kerberoasting (confidence: 0.02); SSH Hijacking (confidence: 0.02); Steal or Forge Authentication Certificates (confidence: 0.02); Protocol Impersonation (confidence: 0.02); Reversible Encryption (confidence: 0.02); Compile After Delivery (confidence: 0.02); Asymmetric Cryptography (confidence: 0.02); Reduce Key Space (confidence: 0.02); Windows Credential Manager (confidence: 0.02); Password Managers (confidence: 0.02); Install Digital Certificate (confidence: 0.02); Reflective Code Loading (confidence: 0.02); Data Obfuscation (confidence: 0.02)
configuration,Network Device Configuration Dump,0.1,Domain Policy Modification,0.05,DHCP Spoofing (confidence: 0.04); SNMP (MIB Dump) (confidence: 0.04); Browser Extensions (confidence: 0.03); Cloud Infrastructure Discovery (confidence: 0.03); Startup Items (confidence: 0.03); Data from Configuration Repository (confidence: 0.03); TFTP Boot (confidence: 0.03); Credentials In Files (confidence: 0.03); Unix Shell Configuration Modification (confidence: 0.03); Query Registry (confidence: 0.03); Logon Script (Windows) (confidence: 0.01); Boot or Logon Autostart Execution (confidence: 0.01); Registry Run Keys / Startup Folder (confidence: 0.01); Launch Daemon (confidence: 0.01); Windows Service (confidence: 0.01); Systemd Service (confidence: 0.01); Network Logon Script (confidence: 0.01); Hybrid Identity (confidence: 0.01); Cloud Service Dashboard (confidence: 0.01); Inhibit System Recovery (confidence: 0.01); Emond (confidence: 0.01); System Time Discovery (confidence: 0.01); Modify Registry (confidence: 0.01); System Information Discovery (confidence: 0.01); Software Deployment Tools (confidence: 0.01); Network Sniffing (confidence: 0.01); Boot or Logon Initialization Scripts (confidence: 0.01); System Network Configuration Discovery (confidence: 0.01); Netsh Helper DLL (confidence: 0.01); Credentials in Registry (confidence: 0.01); Security Support Provider (confidence: 0.01); Gather Victim Host Information (confidence: 0.01); Multi-Factor Authentication (confidence: 0.01); Plist File Modification (confidence: 0.01); MMC (confidence: 0.01); Container and Resource Discovery (confidence: 0.01); Network Device CLI (confidence: 0.01); Reduce Key Space (confidence: 0.01); Network Address Translation Traversal (confidence: 0.01); Vulnerability Scanning (confidence: 0.01); Firmware (confidence: 0.01); Pluggable Authentication Modules (confidence: 0.01); Sudo and Sudo Caching (confidence: 0.01); Indicator Blocking (confidence: 0.01); Non-Standard Port (confidence: 0.01); Services Registry Permissions Weakness (confidence: 0.01); Disable or Modify Tools (confidence: 0.01); Disk Wipe (confidence: 0.01); Steal or Forge Kerberos Tickets (confidence: 0.01); LSASS Memory (confidence: 0.01); SMB/Windows Admin Shares (confidence: 0.01); Clear Network Connection History and Configurations (confidence: 0.01); Data from Local System (confidence: 0.01)
name,LLMNR/NBT-NS Poisoning and SMB Relay,0.09,Masquerade Task or Service,0.07,Launch Agent (confidence: 0.06); Match Legitimate Name or Location (confidence: 0.06); Dynamic Linker Hijacking (confidence: 0.04); Domain Properties (confidence: 0.04); Dylib Hijacking (confidence: 0.04); Fast Flux DNS (confidence: 0.04); Launch Daemon (confidence: 0.04); Image File Execution Options Injection (confidence: 0.02); Network Sniffing (confidence: 0.02); Right-to-Left Override (confidence: 0.02); Timestomp (confidence: 0.02); Emond (confidence: 0.02); Shared Modules (confidence: 0.02); XDG Autostart Entries (confidence: 0.02); Windows Remote Management (confidence: 0.02); Automated Collection (confidence: 0.02); SQL Stored Procedures (confidence: 0.02); Office Template Macros (confidence: 0.02); Windows Service (confidence: 0.02); Masquerade File Type (confidence: 0.02); Cloud Instance Metadata API (confidence: 0.02); Steal or Forge Authentication Certificates (confidence: 0.02); Hidden Files and Directories (confidence: 0.02); System Checks (confidence: 0.02); Dynamic Resolution (confidence: 0.02); Services Registry Permissions Weakness (confidence: 0.02); DLL Search Order Hijacking (confidence: 0.02); Domains (confidence: 0.02); DNS (confidence: 0.02); Gather Victim Host Information (confidence: 0.02); DNS/Passive DNS (confidence: 0.02); Digital Certificates (confidence: 0.02); Systemd Timers (confidence: 0.02); Malicious Image (confidence: 0.02); Double File Extension (confidence: 0.02); Masquerading (confidence: 0.02)
recording,Video Capture,1.0,,,
Administrator,Additional Cloud Roles,0.27,Disable Windows Event Logging,0.18,Hybrid Identity (confidence: 0.09); Default Accounts (confidence: 0.09); SID-History Injection (confidence: 0.09); Time Providers (confidence: 0.09); Scheduled Task (confidence: 0.09); Rogue Domain Controller (confidence: 0.09)
Google,Email Account,0.09,Cloud Groups,0.06,Additional Email Delegate Permissions (confidence: 0.06); SSH Authorized Keys (confidence: 0.06); Web Services (confidence: 0.04); Remote Email Collection (confidence: 0.04); Cloud Infrastructure Discovery (confidence: 0.04); Data from Cloud Storage (confidence: 0.04); Cloud Service Dashboard (confidence: 0.02); Cloud Service Discovery (confidence: 0.02); Browser Extensions (confidence: 0.02); Implant Internal Image (confidence: 0.02); Web Service (confidence: 0.02); Additional Cloud Roles (confidence: 0.02); Application Access Token (confidence: 0.02); Credentials from Web Browsers (confidence: 0.02); System Information Discovery (confidence: 0.02); Disable or Modify Tools (confidence: 0.02); Cloud Services (confidence: 0.02); Cloud Account (confidence: 0.02); Serverless Execution (confidence: 0.02); Exfiltration to Cloud Storage (confidence: 0.02); Cloud Accounts (confidence: 0.02); Dead Drop Resolver (confidence: 0.02); Bidirectional Communication (confidence: 0.02); One-Way Communication (confidence: 0.02); Revert Cloud Instance (confidence: 0.02); Web Services (confidence: 0.02); Establish Accounts (confidence: 0.02); Compromise Accounts (confidence: 0.02); Search Open Websites/Domains (confidence: 0.02); Search Engines (confidence: 0.02); Malicious Image (confidence: 0.02); System Network Connections Discovery (confidence: 0.02)
load,DLL Search Order Hijacking,0.09,TFTP Boot,0.06,LC_LOAD_DYLIB Addition (confidence: 0.06); Shared Modules (confidence: 0.06); Launchctl (confidence: 0.06); Dynamic Linker Hijacking (confidence: 0.04); Registry Run Keys / Startup Folder (confidence: 0.04); Kernel Modules and Extensions (confidence: 0.04); Office Test (confidence: 0.02); Create or Modify System Process (confidence: 0.02); Dynamic-link Library Injection (confidence: 0.02); Winlogon Helper DLL (confidence: 0.02); Template Injection (confidence: 0.02); Process Doppelgänging (confidence: 0.02); Windows Service (confidence: 0.02); Forced Authentication (confidence: 0.02); CMSTP (confidence: 0.02); Regsvr32 (confidence: 0.02); Automated Collection (confidence: 0.02); Native API (confidence: 0.02); Emond (confidence: 0.02); Acquire Access (confidence: 0.02); Bypass User Account Control (confidence: 0.02); Port Monitors (confidence: 0.02); Hybrid Identity (confidence: 0.02); Elevated Execution with Prompt (confidence: 0.02); Disk Structure Wipe (confidence: 0.02); Disable or Modify Tools (confidence: 0.02); Path Interception by PATH Environment Variable (confidence: 0.02); Path Interception by Search Order Hijacking (confidence: 0.02); COR_PROFILER (confidence: 0.02); CDNs (confidence: 0.02); Print Processors (confidence: 0.02); Network Device Configuration Dump (confidence: 0.02); Network Device CLI (confidence: 0.02); Escape to Host (confidence: 0.02); Reflective Code Loading (confidence: 0.02); Terminal Services DLL (confidence: 0.02); Network Sniffing (confidence: 0.02)
virtual,Run Virtual Instance,0.13,Cloud Administration Command,0.08,Proc Filesystem (confidence: 0.07); System Checks (confidence: 0.07); Cloud Instance Metadata API (confidence: 0.05); Software Packing (confidence: 0.05); SSH Authorized Keys (confidence: 0.05); System Information Discovery (confidence: 0.03); Create Snapshot (confidence: 0.03); Cloud Infrastructure Discovery (confidence: 0.03); System Network Connections Discovery (confidence: 0.02); Exploitation for Privilege Escalation (confidence: 0.02); Data Staged (confidence: 0.02); Resource Hijacking (confidence: 0.02); Virtualization/Sandbox Evasion (confidence: 0.02); Modify Cloud Compute Infrastructure (confidence: 0.02); Dynamic-link Library Injection (confidence: 0.02); Portable Executable Injection (confidence: 0.02); Additional Cloud Roles (confidence: 0.02); Credentials In Files (confidence: 0.02); Virtual Private Server (confidence: 0.02); Upload Malware (confidence: 0.02); Security Software Discovery (confidence: 0.02); ListPlanting (confidence: 0.02); User Activity Based Checks (confidence: 0.02); Time Based Evasion (confidence: 0.02); Remote Data Staging (confidence: 0.02); External Proxy (confidence: 0.02); Create Cloud Instance (confidence: 0.02); Delete Cloud Instance (confidence: 0.02); Revert Cloud Instance (confidence: 0.02); Hidden File System (confidence: 0.02); Virtual Private Server (confidence: 0.02); Network Sniffing (confidence: 0.02)
index,Search Engines,1.0,,,
Software,User Execution,0.15,Device Driver Discovery,0.08,Dynamic API Resolution (confidence: 0.08); Phishing (confidence: 0.08); Security Software Discovery (confidence: 0.08); Credential API Hooking (confidence: 0.08); Software Packing (confidence: 0.08); Software Discovery (confidence: 0.08); Exploitation for Defense Evasion (confidence: 0.08); Command and Scripting Interpreter (confidence: 0.08); Remote Services (confidence: 0.08); Application Window Discovery (confidence: 0.08)
response,Serverless Execution,0.07,Multi-Factor Authentication Request Generation,0.07,Safe Mode Boot (confidence: 0.07); Environmental Keying (confidence: 0.07); One-Way Communication (confidence: 0.07); DNS Calculation (confidence: 0.07); External Defacement (confidence: 0.07); LLMNR/NBT-NS Poisoning and SMB Relay (confidence: 0.07); Credential API Hooking (confidence: 0.07); Event Triggered Execution (confidence: 0.07); Transport Agent (confidence: 0.07); Service Stop (confidence: 0.07); Traffic Signaling (confidence: 0.07); Indicator Removal (confidence: 0.07)
Portable,SIP and Trust Provider Hijacking,0.5,Screensaver,0.5,
Request,Multi-Factor Authentication,0.33,AS-REP Roasting,0.33,Cloud Instance Metadata API (confidence: 0.33)
machine,Software Packing,0.1,SSH Authorized Keys,0.08,System Checks (confidence: 0.05); Exploitation for Privilege Escalation (confidence: 0.05); System Information Discovery (confidence: 0.05); Replication Through Removable Media (confidence: 0.02); Data Destruction (confidence: 0.02); Inhibit System Recovery (confidence: 0.02); Steganography (confidence: 0.02); System Shutdown/Reboot (confidence: 0.02); Steal Web Session Cookie (confidence: 0.02); Windows Service (confidence: 0.02); Abuse Elevation Control Mechanism (confidence: 0.02); Elevated Execution with Prompt (confidence: 0.02); Credentials In Files (confidence: 0.02); Data Staged (confidence: 0.02); Virtualization/Sandbox Evasion (confidence: 0.02); Cloud Administration Command (confidence: 0.02); Steal or Forge Authentication Certificates (confidence: 0.02); User Activity Based Checks (confidence: 0.02); Time Based Evasion (confidence: 0.02); Remote Data Staging (confidence: 0.02); Create Cloud Instance (confidence: 0.02); Create Snapshot (confidence: 0.02); Delete Cloud Instance (confidence: 0.02); Revert Cloud Instance (confidence: 0.02); Active Setup (confidence: 0.02); Group Policy Modification (confidence: 0.02); Upload Malware (confidence: 0.02); Escape to Host (confidence: 0.02); HTML Smuggling (confidence: 0.02); Dynamic Data Exchange (confidence: 0.02)
redirect,Multi-Factor Authentication,0.08,DHCP Spoofing,0.08,Traffic Duplication (confidence: 0.08); DNS Server (confidence: 0.08); Services Registry Permissions Weakness (confidence: 0.08); Credential API Hooking (confidence: 0.08); Image File Execution Options Injection (confidence: 0.08); Application Shimming (confidence: 0.08); Thread Local Storage (confidence: 0.08); Internal Spearphishing (confidence: 0.08); Browser Session Hijacking (confidence: 0.08); Multi-Stage Channels (confidence: 0.08)
length,Password Policy Discovery,1.0,,,
class,Extra Window Memory Injection,0.5,MMC,0.25,InstallUtil (confidence: 0.25)
RTF,Template Injection,1.0,,,
processing,Keylogging,0.25,Indicator Blocking,0.12,Transport Agent (confidence: 0.12); Unused/Unsupported Cloud Regions (confidence: 0.12); XSL Script Processing (confidence: 0.12); Exfiltration Over Physical Medium (confidence: 0.12); Automated Exfiltration (confidence: 0.12)
library,DLL Search Order Hijacking,0.21,Socket Filters,0.14,Dylib Hijacking (confidence: 0.07); Dynamic Linker Hijacking (confidence: 0.07); Archive via Custom Method (confidence: 0.07); Archive Collected Data (confidence: 0.07); SIP and Trust Provider Hijacking (confidence: 0.07); AppInit DLLs (confidence: 0.07); Control Panel (confidence: 0.07); VDSO Hijacking (confidence: 0.07); Scheduled Task (confidence: 0.07)
driver,Windows Service,0.25,Exploitation for Privilege Escalation,0.25,Code Signing Policy Modification (confidence: 0.12); Services Registry Permissions Weakness (confidence: 0.12); SIP and Trust Provider Hijacking (confidence: 0.12); Kernel Modules and Extensions (confidence: 0.12)
